"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WIPF1",854.259257492716,0.348766548348899,0.0619787567497281,5.62719497193575,1.83163659682981e-08,8.77903420860526e-05
"STK17B",2014.0395344655,0.429847012442436,0.0756756136909238,5.68012588834796,1.34595640768651e-08,8.77903420860526e-05
"ENSG00000261553",221.210334882004,1.02365338879061,0.180595038943547,5.66822541072457,1.44284069516328e-08,8.77903420860526e-05
"CHMP2A",2146.07114693945,-0.195257975448621,0.0369431036366083,-5.28537010234117,1.25450865513252e-07,0.000450964498803764
"PHACTR1",104.284642576164,0.486787369302713,0.097056495525878,5.01550531641565,5.28942618662857e-07,0.000745599978576248
"RASSF2",553.21101346676,0.464044935530866,0.0927292418172685,5.0042998997588,5.60654153874382e-07,0.000745599978576248
"UGCG",1400.76414178288,0.363145597945138,0.0707430829130766,5.13330184367767,2.84702757959313e-07,0.000745599978576248
"S1PR2",85.4488603106361,0.5894272862441,0.117167685991297,5.03063008590853,4.88870557882414e-07,0.000745599978576248
"NCOA3",1341.30420436645,0.210240915464435,0.0417959750774754,5.03017132809368,4.90041748598416e-07,0.000745599978576248
"PIK3CD",185.053934105431,0.50744488183843,0.101469027071167,5.00098302393819,5.70387354081558e-07,0.000745599978576248
"MRPL12",978.832215600673,-0.308750155616792,0.0609654287508715,-5.0643481386552,4.09800157966672e-07,0.000745599978576248
"FADS3",90.910217927387,0.549290480503177,0.110392288810828,4.97580479959482,6.49771016518724e-07,0.000778588120543561
"RELT",114.961577364,0.474120061549507,0.0959677936998239,4.94040806056769,7.79592458837235e-07,0.000810265665642133
"CYLD",1174.74294376185,0.245820666603085,0.0497805017934626,4.93809137607704,7.88908778008893e-07,0.000810265665642133
"MRPL15",815.948095715128,-0.266679557005242,0.0542540146810364,-4.91538844771345,8.86065929536346e-07,0.000849382800053541
"SNN",137.07382523046,0.405768640961219,0.0829971231153463,4.88894826387292,1.01376131548695e-06,0.000911054622211678
"ARIH1",1287.2401512746,0.144666264513188,0.02975807831679,4.86141151230067,1.16551678391587e-06,0.000985821519760368
"PTPRC",2451.81378642806,0.399866542922793,0.0832326815632039,4.80420113124853,1.55370587296268e-06,0.00106384460701573
"ENSG00000277701",244.369644747774,0.421997628791004,0.0872837843509273,4.83477695117285,1.33295008959335e-06,0.00106384460701573
"CHD1",1968.66726702497,0.198447611999095,0.0412312588317269,4.81303791400112,1.48653073578034e-06,0.00106384460701573
"DOCK2",655.309007613822,0.344821932987733,0.0715914834700559,4.81652169048794,1.46082292021215e-06,0.00106384460701573
"PASK",254.246435672417,0.346052858879359,0.0723011429438796,4.7862709327841,1.69908657930756e-06,0.00111050754199379
"WDR26",1750.91409392561,0.147662454871814,0.0311050764571103,4.74721401425971,2.06237696900932e-06,0.00115780662335883
"DENND4A",803.836957355326,0.213754871773711,0.0449261034790665,4.75792145814094,1.95596570135961e-06,0.00115780662335883
"TUT4",531.333745681658,0.233865059836695,0.0492951599396944,4.74417894419646,2.09353725622989e-06,0.00115780662335883
"P2RY10",181.477131939128,0.538527621940195,0.113227318650173,4.75616333902625,1.97306846989052e-06,0.00115780662335883
"TAGAP",273.696938589106,0.404400801607859,0.0854220986422815,4.73414734636,2.19977882168581e-06,0.00117150443248223
"GADD45GIP1",668.825192599421,-0.255802869528327,0.054219086736006,-4.71794869533375,2.38234550194687e-06,0.00122341949901764
"SWAP70",778.284062386756,0.342970245687284,0.0732153068664412,4.68440631291661,2.80772553684734e-06,0.00138674610177981
"TMED8",510.340323536311,0.275265489694003,0.0588393582683579,4.67825445067834,2.89327373623996e-06,0.00138674610177981
"KRTCAP3",400.168123621355,-0.266493247301198,0.0570972451776162,-4.66735735624722,3.05098422019218e-06,0.00141516458394011
"TGIF2",117.039914455107,0.359971710261389,0.0774483217015235,4.64789555606739,3.3533862127313e-06,0.00150682313602698
"MALT1",852.568525820163,0.199434470805369,0.043188020509227,4.61781921129635,3.87793872607661e-06,0.00168972366491683
"YWHAE",6215.18770163315,-0.147149418082786,0.0319845578732085,-4.60063942938051,4.21195974262455e-06,0.00178128732762348
"MOB1A",3370.23490082062,0.136653801211025,0.0298428733532795,4.57911004725715,4.66958483661997e-06,0.00186511001015996
"RFTN1",408.504312681513,0.417518950394914,0.0911402675255492,4.58105908321886,4.62627109571096e-06,0.00186511001015996
"FOXO1",901.750593906737,0.275468049654811,0.060641366782162,4.54257653268861,5.55708115569767e-06,0.00197554905080651
"MAP4K2",157.958025637656,0.365733431725816,0.0805630889110461,4.5397146096228,5.63304201147971e-06,0.00197554905080651
"RNASEH2C",339.037212012697,-0.229035485612324,0.0502423418791534,-4.55861484648183,5.14921040929176e-06,0.00197554905080651
"LNPEP",2086.80672235517,0.182981830210537,0.0401913851833462,4.55276247324657,5.29460408579084e-06,0.00197554905080651
"ENSG00000272913",41.73189863797,-0.606161127494085,0.133333948423285,-4.54618748384884,5.46263808938112e-06,0.00197554905080651
"REL",865.463051072646,0.375390938696925,0.0829767363952773,4.52405041466888,6.06672634326839e-06,0.00205381734314831
"CORO1A",954.573713181146,0.405274223344964,0.0896337781431261,4.52144528257893,6.14188370230039e-06,0.00205381734314831
"RABAC1",864.334300854137,-0.210264960741503,0.0465961553159033,-4.51249591980263,6.40691676422081e-06,0.0020650161260998
"SEMA4A",200.499483982646,0.466179121556168,0.103350516813117,4.5106607681424,6.46260001908973e-06,0.0020650161260998
"UHMK1",2829.19496173135,0.156558649180095,0.0347783293773027,4.50161499943322,6.74390595372205e-06,0.00210805703714281
"MCL1",9649.31853454318,0.361847169744783,0.0805753376921835,4.49079309015276,7.09584580411132e-06,0.00217087588973014
"MIR222HG",255.572474572779,0.9863033379216,0.220082670189925,4.48151295633794,7.41157324927517e-06,0.00217491860716995
"PIK3AP1",533.059919805231,0.389035472764361,0.0867290723035635,4.48564088639948,7.26950922253313e-06,0.00217491860716995
"DAD1",1504.23258823881,-0.176427532175112,0.0394062711702401,-4.47714353415785,7.56483915865089e-06,0.00217549644524482
"NEIL1",233.943756865654,0.384085156805928,0.0859109222871728,4.47073720757012,7.79504331093605e-06,0.0021977436817245
"LCK",195.06917834659,0.562395469122299,0.126145456873428,4.45830934431984,8.26086270158385e-06,0.00222228831086432
"CD28",118.38160238592,0.648705599585467,0.145441881378432,4.46023933022131,8.18681784891328e-06,0.00222228831086432
"MIEN1",599.970772550811,-0.220450623919563,0.0494714629434353,-4.45611693698288,8.34575205415352e-06,0.00222228831086432
"KMT2A",1722.39665123418,0.158246131246811,0.0356023047872369,4.44482828267739,8.7962096805187e-06,0.00228924228473826
"DOCK8",867.680435614123,0.323953976590999,0.0729309268476902,4.44192869326271,8.91561081753547e-06,0.00228924228473826
"HAND2",58.9257126313144,-0.760954190885001,0.171602072889456,-4.43441141515348,9.23241714497378e-06,0.0023289987039926
"ENSG00000274322",102.540933459745,0.614761029768543,0.138813599460896,4.42868013044877,9.48115149485721e-06,0.00235050823007848
"C16orf54",103.939408481685,0.544980597258744,0.1232334297241,4.42234382731105,9.76359192312781e-06,0.00237950319089245
"CEP95",549.631150564697,0.160936102627423,0.0364773666936788,4.41194409615405,1.02446568234805e-05,0.00241488394204633
"PCF11",1611.55404940695,0.200843983489128,0.0454862735000883,4.41548555277314,1.00783511163295e-05,0.00241488394204633
"LCP1",2721.97021789996,0.313123271123332,0.0710875134425936,4.40475768471201,1.0590218806401e-05,0.00245607671318129
"PLA2R1",407.402483063758,0.34916369969555,0.0796391944066305,4.3843198351901,1.16348727773157e-05,0.00260400790900021
"FCAMR",40.7711052099845,0.905938783268565,0.207034987703001,4.37577625559679,1.21001084719244e-05,0.00260400790900021
"UBR5",2327.8031808313,0.157620451700315,0.0360741272448456,4.36934899714966,1.24617474840329e-05,0.00260400790900021
"PIKFYVE",922.644887972611,0.200695875284102,0.045970195787347,4.36578247811907,1.2666848702888e-05,0.00260400790900021
"AFF4",2755.91964420019,0.162628168592487,0.0372521079840967,4.36560982433303,1.2676858865708e-05,0.00260400790900021
"KIAA0040",807.83134574617,0.360673783224795,0.0822298087242227,4.38616833506691,1.15364853140103e-05,0.00260400790900021
