"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FCAMR",38.6000754806197,1.31488681537062,0.277185042605083,4.74371489533794,2.09834120276891e-06,0.00754301203865355
"DUSP2",110.913715552999,1.14626571994946,0.240072902463465,4.77465681543923,1.80013966363977e-06,0.00754301203865355
"TMEM156",78.6647433649752,0.705307100918535,0.146232552922773,4.82318804412184,1.41281658779955e-06,0.00754301203865355
"PASK",251.846407531354,0.448895121345311,0.0924187103972186,4.85718875989445,1.19064080099227e-06,0.00754301203865355
"PARP1",1514.49459881225,0.299968532426849,0.0651886669238654,4.60154420364488,4.1937013080218e-06,0.0120602462216091
"WIPF1",837.103223464447,0.426587794559339,0.0969871089522309,4.39839685054893,1.09053435227972e-05,0.0139054687055785
"PLEKHG2",222.603756185218,0.478510182452377,0.10992040066184,4.35324270627861,1.34138504252029e-05,0.0139054687055785
"DOK3",161.528394654295,0.585169119914988,0.131431429503025,4.45227691829618,8.49644930733917e-06,0.0139054687055785
"RFTN1",390.798894236694,0.573336180624214,0.129989650707694,4.41062944244283,1.03070570151889e-05,0.0139054687055785
"STK17B",1888.1272361651,0.423411576095064,0.096024127938619,4.40942901731655,1.03643522337633e-05,0.0139054687055785
"S1PR2",81.5883935659492,0.722729823624038,0.159834782697074,4.52173057346214,6.13360989647694e-06,0.0139054687055785
"TAGAP",261.741222184887,0.585889511171071,0.134392477287347,4.35954097280588,1.30335549825107e-05,0.0139054687055785
"TUT4",517.887349070652,0.264357916555647,0.0607550622102014,4.35120806297616,1.3538949988045e-05,0.0139054687055785
"NUGGC",134.274565173362,0.801389241625408,0.183264154558945,4.37286409638634,1.2262706637482e-05,0.0139054687055785
"DTX1",63.0848320645362,1.07617139068326,0.251085119283397,4.28608192215721,1.81851949787776e-05,0.0174323279066562
"PPP1R15A",1082.19490578091,0.73673445630797,0.174215541987486,4.22886757348487,2.34870536999592e-05,0.0211075215719821
"IL10RA",555.822034515379,0.478234898550305,0.114294840496929,4.18422123405612,2.86145341450476e-05,0.0216551782353494
"TMED8",494.316562420085,0.306721767422378,0.0730405824172449,4.19933353858307,2.67701746488843e-05,0.0216551782353494
"KMT2A",1694.8532765051,0.192744361238307,0.0460379394046664,4.18664179437125,2.83112094579781e-05,0.0216551782353494
"ZNF331",214.950255800828,0.655072946004611,0.158537642586397,4.13197102793819,3.59665762767521e-05,0.025858170014171
"PHACTR1",99.8787738137903,0.575011613178168,0.142236265848276,4.04265121661401,5.28502068123265e-05,0.0292281970674786
"KLHL6",553.670450246767,0.557584585528515,0.137824123699353,4.04562402112435,5.21839294084258e-05,0.0292281970674786
"TNFRSF1B",560.338802477047,0.305601710419882,0.0752455635846286,4.06139174007477,4.87810381243265e-05,0.0292281970674786
"BASP1",332.143547150293,0.603382457234699,0.148711218563674,4.0574104836371,4.96198262912952e-05,0.0292281970674786
"IL16",539.294324199052,0.549879113231468,0.135321498459076,4.06350150931681,4.83420096077767e-05,0.0292281970674786
"MME",108.467629934263,1.16664873604409,0.286129332988894,4.07734755418932,4.55523768157964e-05,0.0292281970674786
