"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000264940.5",5584.67026105964,-5.35000438499604,0.840730852858675,-6.36351617976766,1.97186610517595e-10,4.41934631492035e-06
"ENSG00000185215.11",4540.63004115212,0.692853362684226,0.130926034655408,5.29194491002333,1.21022351896535e-07,0.00135617647535257
"ENSG00000199352.1",8186.40945556504,3.32092192722906,0.699192602572258,4.74965254925714,2.03766438280987e-06,0.0126163053414074
"ENSG00000255398.3",312.506446146546,2.51885764212156,0.532594201545895,4.72941243973439,2.25170539735989e-06,0.0126163053414074
"ENSG00000115956.10",1559.90554722328,1.1527226187957,0.250079967425731,4.60941606263621,4.03801517620647e-06,0.0135344993766435
"ENSG00000154451.15",2147.27534514519,1.03029379074281,0.223982568255687,4.59988381580965,4.2272664481753e-06,0.0135344993766435
"ENSG00000198019.13",129.402564159857,1.26658015689028,0.271586348079488,4.66363705630587,3.10669108497165e-06,0.0135344993766435
"ENSG00000276085.1",78.5417471377184,1.67664120626901,0.366795534181386,4.57105130794719,4.85283434648298e-06,0.0135952154216721
"ENSG00000119547.6",125.12494027015,-2.02618793722812,0.447447393242235,-4.52832660962938,5.94526374106171e-06,0.0148050278849639
"ENSG00000182782.8",215.205698366472,1.66580653031911,0.385044168097765,4.32627388839233,1.51652838556124e-05,0.0339884341771986
"ENSG00000085265.12",1133.49330741759,0.650611249733964,0.15365700972513,4.23417877842222,2.29388408578785e-05,0.046736845573343
"ENSG00000167207.14",327.881216631842,0.769412538675411,0.186816850363913,4.11853929223527,3.81281564262664e-05,0.0712106868187902
"ENSG00000140678.17",2996.46555389445,0.664213254798319,0.162288081381501,4.09280366829225,4.26188559612504e-05,0.0712956079675808
"ENSG00000141480.18",2181.74789013732,0.315138323218513,0.0771907190818858,4.08259343826304,4.45358964637753e-05,0.0712956079675808
"ENSG00000259692.6",222.505819311894,0.504447059076456,0.125670997910956,4.01402923078466,5.96909495070464e-05,0.0891862373567949
"ENSG00000126262.5",421.251682298401,0.501989936758621,0.126112637036767,3.98048878013922,6.87737109916904e-05,0.0963347756716104
"ENSG00000115850.10",963.661537290476,-2.04674344088517,0.516820237184842,-3.96026179631419,7.48676408540025e-05,0.0987019745188179
"ENSG00000125538.12",478.794016701651,1.83353782132104,0.467637022417146,3.9208568471413,8.82346697406079e-05,0.0988757709113252
"ENSG00000132205.11",994.129479402985,0.502089631449764,0.127709765536958,3.93148972859453,8.4421103737263e-05,0.0988757709113252
"ENSG00000277632.2",186.273535810442,1.06480001706423,0.27153021518521,3.92147892763218,8.80071459405564e-05,0.0988757709113252
"ENSG00000125454.12",419.66547317727,0.263502209453007,0.0676718682127941,3.89382200332381,9.86770673741821e-05,0.0999927070426953
"ENSG00000131203.13",647.803803740624,0.807657628275921,0.207927602875678,3.88432135563466,0.000102616110208013,0.0999927070426953
"ENSG00000278233.1",7173.36926384027,2.30760099500198,0.591666548064005,3.90017147758766,9.61245808898145e-05,0.0999927070426953
"ENSG00000249437.8",3875.8759981483,0.362842199143918,0.0942805998757401,3.84853511350306,0.000118826266589375,0.110963928616711
"ENSG00000182541.18",2995.08757125638,0.358306573039153,0.0935330946172828,3.83079993776818,0.00012772732927387,0.114504996147439
"ENSG00000049656.14",2575.46336636028,0.325525676251179,0.0864795719794193,3.76419157496118,0.000167088754212147,0.144030506130871
"ENSG00000109065.12",616.514761945955,0.257965449944518,0.069115053539068,3.73240613636653,0.000189659379800125,0.157431334077052
"ENSG00000091106.19",127.148525129732,0.759284329761896,0.204218943646329,3.71799166230554,0.000200812896304097,0.160736379713122
"ENSG00000000938.13",564.390065406821,0.761480294011621,0.205316145265982,3.70881838359639,0.00020822871296198,0.160924893617376
"ENSG00000167173.19",1316.15814232,0.278963091277106,0.0760644434253512,3.66745720753058,0.000244974532335696,0.177108684474439
"ENSG00000251230.6",149.529456510072,0.638989720618048,0.173849947458105,3.67552438157643,0.000237361369659372,0.177108684474439
"ENSG00000115109.14",1162.80322159503,-0.346471639790271,0.0949043996864384,-3.65074370561327,0.000261482067176086,0.177585942107589
"ENSG00000261373.1",66.6126852937675,0.638166640740076,0.174673087182619,3.65349150824179,0.000258698348050598,0.177585942107589
"ENSG00000015520.15",797.695511973631,-1.78193818676074,0.491297916327463,-3.62700131130422,0.000286731838391784,0.178151141801097
"ENSG00000187796.15",239.506773134651,0.369045615737764,0.101381508752036,3.64016693261485,0.000272461341427453,0.178151141801097
"ENSG00000204482.11",721.013517228686,0.405306041273104,0.111949591831201,3.62043339902684,0.000294109952107825,0.178151141801097
"ENSG00000250791.2",103.135928240637,0.91741872685576,0.253080024374869,3.62501437686308,0.000288945377079434,0.178151141801097
"ENSG00000140379.9",135.945513841605,0.961040053805674,0.26824658914153,3.58267390046335,0.000340095062929312,0.196962473427337
"ENSG00000283907.1",77088.834420715,1.81767717678167,0.507639059862761,3.5806487729157,0.000342742123133417,0.196962473427337
"ENSG00000125347.15",8877.16461284551,0.449378320092151,0.125982948762863,3.56697731323952,0.000361122731113885,0.197034784685452
"ENSG00000176170.14",224.957537844789,0.685402991215589,0.192467077860484,3.56114406076465,0.000369242412849767,0.197034784685452
"ENSG00000185947.15",798.797506360398,0.358307982398537,0.100559426757867,3.56314662832448,0.000366435861957949,0.197034784685452
"ENSG00000137841.12",1686.15232795796,0.338862267244198,0.0957354809167709,3.53956823530027,0.000400782145826701,0.208891382610884
"ENSG00000137462.9",1049.40851373142,0.688124691309216,0.195393007099064,3.52174676834948,0.000428713453271027,0.214815712523216
"ENSG00000149781.13",739.936671727393,0.370544133031368,0.105503234716717,3.51215897812329,0.000444482030121994,0.214815712523216
"ENSG00000154803.13",4471.69622436791,-0.313346323802967,0.0890652811645038,-3.51816465076011,0.000434542654895533,0.214815712523216
"ENSG00000157551.19",1348.82281814182,0.493260907327329,0.140986311715787,3.49864395574579,0.000467630575530505,0.214815712523216
"ENSG00000224397.8",346.615889010291,0.548252899300371,0.156463283885693,3.50403548797369,0.000458264283815157,0.214815712523216
"ENSG00000228801.7",721.352467524155,-0.201306296850859,0.0575573565132723,-3.49749031306605,0.00046965776876841,0.214815712523216
"ENSG00000272674.4",200.109147713334,-0.285752051584665,0.0818539419547902,-3.49099926968077,0.000481217568751773,0.215700963017295
"ENSG00000008130.15",2271.03957838809,0.193901545035434,0.0560554208907881,3.45910425707461,0.00054197507357053,0.216373000614913
"ENSG00000060069.18",964.400226685868,0.254231043643163,0.0737627343418217,3.4466054697083,0.000567676931805518,0.216373000614913
"ENSG00000075618.18",476.345213330166,0.557522490299117,0.161474548661309,3.4526957648819,0.000555014586780409,0.216373000614913
"ENSG00000138798.13",69.9097966369992,-0.83211903743693,0.239857165593591,-3.46922734360521,0.000521957568175268,0.216373000614913
"ENSG00000169245.6",142.365011701146,1.34619264497091,0.386942079427097,3.47905466100785,0.000503185939517464,0.216373000614913
"ENSG00000204577.12",631.147057460514,0.666155814650896,0.192382437103514,3.46266439224107,0.000534855071034161,0.216373000614913
"ENSG00000232810.4",76.118116532658,0.719267871927977,0.207230216247442,3.47086387763617,0.00051878691537213,0.216373000614913
"ENSG00000270571.2",97.1093244067116,0.419471101339403,0.121737952556263,3.44568881381128,0.000569605882396924,0.216373000614913
"ENSG00000289444.1",1411.86747980519,-0.373372811995579,0.107635888240148,-3.46885056741057,0.000522690094821393,0.216373000614913
"ENSG00000005007.13",2843.62036758427,0.153562410139393,0.0447407646604472,3.43227057706389,0.00059855006408719,0.223578400605368
"ENSG00000203663.4",513.832443045153,-0.268479613461624,0.0783600868872665,-3.42622914453726,0.000612023824794127,0.224863573135836
"ENSG00000087266.17",5876.23787830279,0.262045035346864,0.077202366072737,3.39426171342956,0.000688138960630562,0.244802704534161
"ENSG00000149968.12",202.735112216008,1.89012713599282,0.556348436384687,3.39738015312024,0.000680343815928112,0.244802704534161
"ENSG00000289273.1",231.259966292143,0.616168754429831,0.181943490877737,3.38659410928795,0.000707660005808718,0.24781368828414
"ENSG00000106366.9",1539.89259423349,1.28435850505492,0.380004745819881,3.37984859184812,0.000725257712275048,0.248459892222008
"ENSG00000170909.14",70.5199714754119,0.685420588725869,0.203190678679585,3.37328756013813,0.000742763375819854,0.248459892222008
"ENSG00000236653.3",471.886129662377,0.355785376640002,0.105361016148614,3.37682180416862,0.000733285391166965,0.248459892222008
"ENSG00000133246.12",391.481240899278,0.241686325926959,0.0720234820991634,3.35566011088162,0.000791758105664488,0.260954156825772
"ENSG00000224389.9",1736.39602300309,0.875959401972101,0.261966579554872,3.3437830255314,0.000826443464066416,0.268438419081978
"ENSG00000015475.19",814.736740184092,0.348582377105333,0.10459476203026,3.3326943944333,0.000860093610589268,0.271784768422313
"ENSG00000189144.15",464.910908357276,-0.272225522589536,0.0816904931303421,-3.33240150913502,0.000860999400231313,0.271784768422313
"ENSG00000152766.6",286.415151381036,0.76806688690808,0.231240443772913,3.32150758049207,0.000895325502749187,0.276439583210808
"ENSG00000229023.1",174.69444828991,0.822226694670022,0.247664194907543,3.31992557493816,0.000900414491093564,0.276439583210808
"ENSG00000103966.11",1744.85906618046,0.319158544336505,0.0965965494316932,3.30403669918037,0.000953033555196168,0.278388049236154
"ENSG00000186567.14",709.061713678092,-0.305572708186248,0.0925127234824614,-3.3030344009295,0.000956446537175792,0.278388049236154
"ENSG00000196151.11",192.082124345798,-0.311667005671004,0.0942027819111473,-3.30846923358347,0.000938074912521608,0.278388049236154
"ENSG00000279440.1",244.513065997509,0.737347671526215,0.222507928770354,3.31380403206762,0.000920359873296852,0.278388049236154
"ENSG00000116017.11",1762.72697429971,0.289676004782912,0.0878830215575414,3.29615436120669,0.000980181431808703,0.281638798073034
"ENSG00000235568.7",790.080222103361,0.299230776946016,0.0911499108293064,3.28284223455112,0.00102766160951981,0.291543696108329
"ENSG00000147443.13",280.363847617542,0.470780385192699,0.143687680616158,3.27641439526277,0.00105134178511602,0.294533401100254
"ENSG00000255036.6",156.68056278203,-0.533338252546296,0.163016390458302,-3.27168483516826,0.00106908680201724,0.295807079096425
"ENSG00000135604.10",501.214124449704,0.323870108501716,0.0994001113204997,3.25824693955773,0.00112102810178251,0.302704600206621
"ENSG00000141526.18",2085.08900574982,0.525583023138239,0.161198832690098,3.26046420043664,0.00111230007665446,0.302704600206621
"ENSG00000105383.15",326.519911176217,0.317531576232585,0.0977992750276598,3.24676820091744,0.00116723413028892,0.311429182476609
"ENSG00000059804.16",2739.42000583521,0.634773299412429,0.196127315837265,3.23653692349069,0.00120989572837187,0.315934970156734
"ENSG00000231175.1",126.657486254633,0.445920370592507,0.137801284365536,3.23596672299254,0.00121231516301442,0.315934970156734
"ENSG00000137331.12",499.250885459692,0.924448545575553,0.28616863819045,3.23043276657142,0.0012360297110522,0.318412619357492
"ENSG00000138796.18",3228.11960806006,-0.412745695904677,0.127925104858238,-3.22646361214296,0.00125330167036873,0.319193148139817
"ENSG00000066336.12",580.177360646776,0.52499200171489,0.163302963187215,3.21483451046154,0.00130519743976639,0.320461909304113
"ENSG00000090402.8",19286.1931785539,-0.896395532954412,0.279026548750562,-3.21258151587487,0.00131547812136259,0.320461909304113
"ENSG00000117228.11",2549.8613736852,0.611697428410782,0.190312180078568,3.21417908280096,0.00130818055991087,0.320461909304113
"ENSG00000240356.6",123.074123970996,-0.437672833093731,0.135970478243938,-3.2188813244337,0.00128691734458933,0.320461909304113
"ENSG00000060982.15",787.282725165539,0.275128565721237,0.0859402099414565,3.20139508512556,0.00136763869213239,0.329586219011518
"ENSG00000143546.10",207.779517387034,1.4339584748182,0.44927012328763,3.19175124382834,0.00141413064093252,0.330140582547706
"ENSG00000148926.10",559.950628940459,0.759809151014293,0.238009080243668,3.1923536288465,0.00141118447036593,0.330140582547706
"ENSG00000154319.16",128.213014088894,0.593018045674381,0.185788580111796,3.19189718397944,0.00141341635050423,0.330140582547706
"ENSG00000008516.18",560.731533743233,0.859989988390935,0.270041076784089,3.18466360241387,0.00144922366772902,0.334845369496318
"ENSG00000143195.13",208.914767953521,-0.469779491228069,0.148088645265335,-3.1722856967619,0.00151244138304727,0.342392285624803
"ENSG00000273760.1",87.4977341920935,-0.769493789292665,0.242490081727576,-3.17330005339001,0.00150716673715037,0.342392285624803
