symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,biotype
CSF2RB,1408.33601263769,0.539293898515068,0.0768058902361233,7.02151744947066,2.19471399614402e-12,5.68387030721379e-08,CSF2RB, protein_coding
TLR2,1049.40851373142,0.588284654193722,0.086893564199419,6.77017520933565,1.2862652951808798e-11,1.66558493072972e-07,TLR2, protein_coding
NAIP,3875.8759981483,0.353731145483269,0.0533504932569118,6.63032568002437,3.34947021700466e-11,2.89148598933289e-07,NAIP, protein_coding
TNFAIP2,4540.63004115212,0.63919490230768,0.0977396519575997,6.53977059980701,6.16132665576303e-11,3.98915094327377e-07,TNFAIP2, protein_coding
ADM,559.950628940459,0.758926186459231,0.11831170372981,6.41463323182636,1.41162291920645e-10,7.31164207232172e-07,ADM, protein_coding
ALPL,190.098706116039,0.939503006534689,0.152329781469996,6.16755960304282,6.93519750099212e-10,2.64211068223935e-06,ALPL, protein_coding
GPR132,520.388289315291,0.378204292324324,0.0613676737109646,6.16292372602597,7.1413911405033e-10,2.64211068223935e-06,GPR132, protein_coding
NLRC4,127.148525129732,0.732109541584609,0.119610398586882,6.12078506746905,9.31154351634613e-10,2.67944837762591e-06,NLRC4, protein_coding
EMILIN2,994.129479402985,0.445652395334632,0.0728044083214864,6.12122817298014,9.28568211685345e-10,2.67944837762591e-06,EMILIN2, protein_coding
FSCN1,476.345213330166,0.572434233757759,0.0945332868279317,6.05537216535903,1.4009339066220102e-09,3.37523726968495e-06,FSCN1, protein_coding
JAK3,2392.6415563936,0.381304697490729,0.0630082829907229,6.05165986743158,1.4336091577162101e-09,3.37523726968495e-06,JAK3, protein_coding
CCL19,226.473245998485,1.1444482646187,0.191834804234268,5.96580098792245,2.4343684913988e-09,4.84963655309585e-06,CCL19, protein_coding
LIMK2,2995.08757125638,0.296789537827426,0.0497293681534812,5.96809388189764,2.4004124773204802e-09,4.84963655309585e-06,LIMK2, protein_coding
ITGB2,1823.27686849814,0.49742589914663,0.0839949072945967,5.92209593615004,3.1786408870489402e-09,5.88003154948525e-06,ITGB2, protein_coding
GSTM1,183.806847274537,2.57291139645212,0.437588436738,5.87975179516139,4.10882129038827e-09,6.65064086115472e-06,GSTM1, protein_coding
HAPLN3,408.133657621429,0.7238457311194,0.122918116993108,5.88884493861866,3.88904122258837e-09,6.65064086115472e-06,HAPLN3, protein_coding
FGR,564.390065406821,0.712957516385221,0.122127916545595,5.83779316434213,5.2896766314733406e-09,8.05835561187627e-06,FGR, protein_coding
TMEM231P1,657.905791684913,-0.607870924672732,0.104480592780125,-5.81802714262897,5.9546234432451e-09,8.56737988517564e-06,TMEM231P1, transcribed_unprocessed_pseudogene
PCOLCE,549.464754925169,0.498019814569824,0.0867811133503536,5.73880416305807,9.534739711807211e-09,1.29963520555991e-05,PCOLCE, protein_coding
PIK3R5,1304.43727708843,0.387426161451045,0.0683219645366974,5.67059457494009,1.42302787755011e-08,1.84267879863964e-05,PIK3R5, protein_coding
ZSWIM5,896.823340860916,-0.392876878065073,0.0701266390060421,-5.6023913826987,2.11414517235857e-08,2.60724436541629e-05,ZSWIM5, protein_coding
NCAM1,1475.05375932343,-0.295390964249455,0.0533893790491778,-5.53276643239034,3.15219103001272e-08,3.71070196796679e-05,NCAM1, protein_coding
A1CF,2719.48144887606,-0.35413832102568,0.0646032241607867,-5.48174376164707,4.21153924407527e-08,4.74219318882875e-05,A1CF, protein_coding
ITGAX,2996.46555389445,0.575520899546753,0.105574276935143,5.45133640745,4.99926977503336e-08,5.39462869307558e-05,ITGAX, protein_coding
PELATON,346.615889010291,0.461265931298286,0.0847749433265138,5.44106446077708,5.29631439509842e-08,5.48655800817036e-05,PELATON, lncRNA
ADAM12,363.341351416833,0.851702404056745,0.158505562453595,5.37332817140784,7.72964629236892e-08,7.69932229537578e-05,ADAM12, protein_coding
SELPLG,504.101490105903,0.376997893083756,0.0704560349948156,5.35082471092073,8.75542990023921e-08,8.39807865023686e-05,SELPLG, protein_coding
CYS1,159.40735119206,-0.51561900813645,0.0969759506782212,-5.31697812220826,1.05504748155199e-07,9.75843559901195e-05,CYS1, protein_coding
Metazoa_SRP,299.08491526316,0.256384591893512,0.0482957634361843,5.30863524359204,1.10449115669256e-07,9.86348688828407e-05,Metazoa_SRP, misc_RNA
FERMT3,739.936671727393,0.326647595551032,0.0618331979490045,5.28272200671922,1.27278452419918e-07,0.000109875245359,FERMT3, protein_coding
HADH,3228.11960806006,-0.315328139628773,0.0600124269117022,-5.25438073172284,1.48523354951229e-07,0.0001240792853718,HADH, protein_coding
HCAR3,312.506446146546,2.34664294483804,0.449847032515759,5.21653534472483,1.82300802724555e-07,0.000147538318405,HCAR3, protein_coding
PTAFR,844.128153031817,0.283808986028589,0.0546319432228772,5.19492753297751,2.04799600673752e-07,0.0001607242441893,PTAFR, protein_coding
RHBDF2,2030.09697538495,0.275259442525027,0.0530625923239185,5.18744807725782,2.13195339536655e-07,0.0001623921442153,RHBDF2, protein_coding
GBP5,2147.27534514519,0.929325926070047,0.179595673003498,5.17454519102999,2.28466810242277e-07,0.0001690523843329,GBP5, protein_coding
SPI1,580.177360646776,0.479311081268166,0.0928610150988496,5.16159640036181,2.44852745034244e-07,0.000171699023136,SPI1, protein_coding
NBEA,3299.62627149545,-0.196476296568546,0.0380675626245544,-5.16125233722778,2.45303261102527e-07,0.000171699023136,NBEA, protein_coding
HK3,393.00472540432,0.619888260762703,0.120315355819009,5.15219571552617,2.57454139870574e-07,0.0001754617714307,HK3, protein_coding
WARS1,2931.76953115338,0.491867466188301,0.0955770792773002,5.14629103449828,2.6568711982909e-07,0.000176429872547,WARS1, protein_coding
PPP1R16A,1962.54047122887,-0.21012266997746,0.0409175455179435,-5.13527063555939,2.81738295256821e-07,0.0001818060947106,PPP1R16A, protein_coding
CXCL3,161.04352401232,0.980505128646707,0.191085020381218,5.13125061656106,2.8782337953271e-07,0.0001818060947106,CXCL3, protein_coding
FBXO32,5133.89978654763,-0.461529985718892,0.0909725072871642,-5.07329081589479,3.90994250464394e-07,0.0002354876534541,FBXO32, protein_coding
RNF149,2368.72466093472,0.218799376844239,0.0430982632712847,5.07675623648667,3.8393291844395e-07,0.0002354876534541,RNF149, protein_coding
MAP3K8,804.072413892863,0.360981089811179,0.0712172600680094,5.06873038174253,4.00478042154802e-07,0.0002357177349028,MAP3K8, protein_coding
HIF1A,2852.73505781149,0.224721795114259,0.0444370611882266,5.0570804887925,4.25723588759139e-07,0.0002396823804713,HIF1A, protein_coding
NOD2,327.881216631842,0.651847580925613,0.128877272671505,5.05789397473598,4.23911999141301e-07,0.0002396823804713,NOD2, protein_coding
SUGT1P4-STRA6LP-CCDC180,156.68056278203,-0.584504233755185,0.11567929462576,-5.05279908255097,4.35381827976175e-07,0.000239904650658,SUGT1P4-STRA6LP-CCDC180, lncRNA
RAB1AP1,174.69444828991,0.907047220145158,0.179735933314007,5.04655470623397,4.49848129456019e-07,0.0002415530639564,RAB1AP1, processed_pseudogene
ENSG00000288928,796.337278143505,0.357332598753046,0.0708497404556941,5.04352727977182,4.57027574865387e-07,0.0002415530639564,ENSG00000288928, lncRNA
STX11,501.214124449704,0.293859637689559,0.0583865233772559,5.0330045478274,4.82851666933822e-07,0.0002451939700049,STX11, protein_coding
UPP1,939.071535973852,0.359509873134049,0.071392404064034,5.03568800977193,4.76135530770321e-07,0.0002451939700049,UPP1, protein_coding
PRDM10,689.381226320399,-0.2818568336844,0.0560639315411879,-5.02741826939717,4.9712725154928e-07,0.0002475884915504,PRDM10, protein_coding
CDHR5,14366.9712099362,-0.354653544695873,0.0706991035922405,-5.0163796522987,5.26542328094738e-07,0.000257290437981,CDHR5, protein_coding
TYMP,2612.4369502969,0.520362232508303,0.104227289934846,4.99257183827371,5.95805414358478e-07,0.0002603933456303,TYMP, protein_coding
CD86,285.541309092994,0.477146610936624,0.095617383342326,4.99016595369861,6.03274412611768e-07,0.0002603933456303,CD86, protein_coding
FAM167A,128.213014088894,0.527365483506062,0.105602303044483,4.99388240883266,5.91774372178617e-07,0.0002603933456303,FAM167A, protein_coding
TMEM252,297.043479033042,-0.748251787189592,0.14993619811128,-4.99046792312458,6.02332027987781e-07,0.0002603933456303,TMEM252, protein_coding
ITGB2-AS1,295.000066002996,0.6191991524313,0.123780451056195,5.00239857867532,5.66213719455116e-07,0.0002603933456303,ITGB2-AS1, lncRNA
LINC01923,471.886129662377,0.301667204033666,0.0603124929507219,5.00173661002775,5.68161795906099e-07,0.0002603933456303,LINC01923, lncRNA
SLED1,150.984733528468,0.834003499561222,0.167043007016937,4.99274716406811,5.95264619123284e-07,0.0002603933456303,SLED1, transcribed_processed_pseudogene
FCN1,1133.49330741759,0.619629207100169,0.124717593360201,4.96825820965448,6.75569679029777e-07,0.0002822811357042,FCN1, protein_coding
SNX20,512.669724933123,0.374546809391596,0.0753888811612298,4.96819694923678,6.7578308802466e-07,0.0002822811357042,SNX20, protein_coding
DCUN1D3,1094.94738367665,0.242948439267789,0.0491562853888084,4.94236774292757,7.71794608066702e-07,0.0003172688374557,DCUN1D3, protein_coding
ZNF267,798.797506360398,0.29700810670257,0.0601376206744282,4.93880707902473,7.86019261349314e-07,0.0003180676067253,ZNF267, protein_coding
VPS9D1-AS1,66.6126852937675,0.628093445346845,0.127586635277464,4.92287804267999,8.52806038377093e-07,0.0003346359209377,VPS9D1-AS1, lncRNA
ENSG00000289273,231.259966292143,0.560025831345206,0.1137587888692,4.9229236431932,8.5260726570437e-07,0.0003346359209377,ENSG00000289273, lncRNA
IGF1,1331.74045982827,0.427594759596988,0.0869848689874004,4.91573723769043,8.84489669509672e-07,0.0003368604920729,IGF1, protein_coding
CYP7B1,743.522443005381,0.330318828130525,0.0671675064341192,4.91783669912647,8.75058621105966e-07,0.0003368604920729,CYP7B1, protein_coding
AGL,1237.73578197342,-0.228011552159096,0.0467859743556799,-4.87350226855785,1.09637008317157e-06,0.0004115042378837,AGL, protein_coding
ANKRD22,286.415151381036,0.692963969817201,0.142538990014092,4.86157485575483,1.16455526301161e-06,0.0004308521743067,ANKRD22, protein_coding
IDO1,647.803803740624,0.686671801101207,0.141774005755155,4.84342526292933,1.27619737832235e-06,0.0004655064747012,IDO1, protein_coding
SI,19286.1931785539,-0.579002076172508,0.120033161101401,-4.82368431239914,1.40930414224487e-06,0.000506918870498,SI, protein_coding
GTF3C2,1739.50080042807,-0.114157610670251,0.0239527839849092,-4.76594331340244,1.8797210684809e-06,0.0006668632360481,GTF3C2, protein_coding
BCL2A1,135.945513841605,0.87467248115348,0.183810428694144,4.75855742988834,1.94981419414231e-06,0.0006823822702688,BCL2A1, protein_coding
SPCS2,948.414288371801,0.226494997295403,0.0476594526378562,4.7523625379511,2.01053455093534e-06,0.0006942509840016,SPCS2, protein_coding
MTCH2,1395.6144046,-0.291519097104315,0.0614405698143403,-4.7447329669178,2.08781571197564e-06,0.000711450675115,MTCH2, protein_coding
FCGR1B,129.402564159857,1.04787026546965,0.220977829576271,4.7419701219754,2.11649843715055e-06,0.0007118581366925,FCGR1B, protein_coding
ACKR1,279.925089727142,0.392617954775874,0.0830220663547894,4.72907953288041,2.2554002584459e-06,0.0007488507165798,ACKR1, protein_coding
CLPTM1L,2575.46336636028,0.245180564921182,0.051881727228493,4.72575949218843,2.29256863941575e-06,0.0007515562357416,CLPTM1L, protein_coding
RAMP3,308.203942682573,0.502053167900098,0.106479664152509,4.7150145701156,2.41693453567038e-06,0.000779162976979,RAMP3, protein_coding
SAT2,1013.78039080314,-0.331800424431337,0.0704308380623198,-4.71101059649109,2.46491417997588e-06,0.000779162976979,SAT2, protein_coding
ENSG00000279440,244.513065997509,0.57463827186635,0.121982252777055,4.71083505005117,2.4670385401298e-06,0.000779162976979,ENSG00000279440, lncRNA
TRPM2,851.172165293117,0.310205077502576,0.0659356123165914,4.7046666680385,2.54281064760512e-06,0.0007934181945985,TRPM2, protein_coding
KCNAB2,2336.83679623483,0.321975892110539,0.0687197954642173,4.68534415644751,2.79489895357522e-06,0.0008416545709266,KCNAB2, protein_coding
SRGN,1148.78196663663,0.399028365646175,0.0851459389808163,4.68640513478955,2.78045608111232e-06,0.0008416545709266,SRGN, protein_coding
MTCL1,1548.76022124461,-0.281429114427497,0.0600088830164101,-4.68979091563055,2.73484356134822e-06,0.0008416545709266,MTCL1, protein_coding
LAMA1,302.317550968603,-0.384953073500112,0.0823523056391696,-4.6744662521873,2.9471909174989e-06,0.0008773143721998,LAMA1, protein_coding
SLC1A5,1431.22550836223,0.225117683507368,0.0482449361992691,4.66614117961626,3.06908867716811e-06,0.0009032188472874,SLC1A5, protein_coding
PLA2G7,626.700787699224,0.3692893705879,0.0792057635897291,4.6624052827866,3.12534940795972e-06,0.0009094415614307,PLA2G7, protein_coding
GPR65,289.681935726819,0.306670109290592,0.0659973853645984,4.64670088968544,3.37285664482916e-06,0.000970558237642,GPR65, protein_coding
CCL3,186.273535810442,0.968037628640982,0.209385970930438,4.62322105124504,3.77826716101092e-06,0.0010752699223721,CCL3, protein_coding
ENSG00000270571,97.1093244067116,0.400283413410062,0.0866518778195116,4.61944303438891,3.84771497673678e-06,0.0010827053993936,ENSG00000270571, lncRNA
ENSG00000279091,502.925352050298,0.300957821430831,0.0651807466458958,4.61728097509882,3.88800687866291e-06,0.0010827053993936,ENSG00000279091, TEC
FFAR2,421.251682298401,0.416346004241435,0.0904900112616773,4.60101616119212,4.20434802080385e-06,0.001146149526766,FFAR2, protein_coding
CD300C,57.875097507431,0.609357338118618,0.132385231495822,4.60291024333669,4.16627812136815e-06,0.001146149526766,CD300C, protein_coding
C1orf162,352.938011059184,0.475522609648228,0.103436860711666,4.5972258475029,4.28153440301501e-06,0.0011550331038466,C1orf162, protein_coding
NCF1,689.8993887126,0.267454500486834,0.0583648455137623,4.58245880945182,4.59540248028156e-06,0.0012269250869518,NCF1, protein_coding
NRROS,253.452857472651,0.348501911766739,0.0760940850073118,4.57988175734358,4.65238874707193e-06,0.0012294649364456,NRROS, protein_coding
STK10,2621.32374968834,0.219563797197585,0.0480156200506707,4.57275771854826,4.81346615050856e-06,0.0012474195985154,STK10, protein_coding
PTPN6,1371.95403946489,0.205973807105385,0.0450536699763869,4.57174315018816,4.83683599052446e-06,0.0012474195985154,PTPN6, protein_coding
ENSG00000280604,227.381727177431,0.409321788363807,0.0895566668675326,4.57053397229771,4.86483046760618e-06,0.0012474195985154,ENSG00000280604, lncRNA
SLC16A3,2085.08900574982,0.496495236992507,0.108771084588035,4.56458845540574,5.00475150029836e-06,0.0012707162191639,SLC16A3, protein_coding
PLEK,1559.90554722328,1.04451984561671,0.229203248046469,4.5571773285034,5.18456508088201e-06,0.0013035909365503,PLEK, protein_coding
FLCN,4471.69622436791,-0.308785369184362,0.0678078948011533,-4.55382621875926,5.26788784586294e-06,0.0013118053791553,FLCN, protein_coding
CSF3R,2049.33690407995,0.59261352756539,0.130408109091092,4.54429967350757,5.51181971730859e-06,0.0013491625052433,CSF3R, protein_coding
ARRB2,2181.74789013732,0.275714346622953,0.060704244234308,4.54192865920122,5.57419059622493e-06,0.0013491625052433,ARRB2, protein_coding
SLC2A6,290.362861407494,0.332792555978571,0.073255818810495,4.54288220898152,5.54902613480673e-06,0.0013491625052433,SLC2A6, protein_coding
ENSG00000257943,99.7496499564475,-0.624265414312984,0.137546953368743,-4.53856228017948,5.66390682689542e-06,0.0013581838796568,ENSG00000257943, transcribed_unitary_pseudogene
ENSG00000250791,103.135928240637,0.681354530193629,0.150202130642037,4.53625076609224,5.72630882819247e-06,0.0013605499636011,ENSG00000250791, lncRNA
SLC25A3,5485.08852361596,-0.173968853312508,0.0383838725612534,-4.53234240591245,5.83331930933722e-06,0.0013689682312183,SLC25A3, protein_coding
CRYL1,1735.05866986471,-0.241554013278371,0.053310119953241,-4.53110991853407,5.86745979091943e-06,0.0013689682312183,CRYL1, protein_coding
CD83,357.752086236271,0.554644825916587,0.122484190186858,4.52829728531036,5.94608869853023e-06,0.0013749268313797,CD83, protein_coding
ENSG00000230551,4745.07250637468,0.167971890915886,0.0371301915342666,4.52386276437245,6.07211045555793e-06,0.0013916417396286,ENSG00000230551, lncRNA
NAT8B,112.062206015527,-0.764891515430006,0.169284091193207,-4.51838982646646,6.23116823753686e-06,0.0014155683773309,NAT8B, polymorphic_pseudogene
IRAK3,1851.95055969831,0.416781038460517,0.0923338390175616,4.51384934164003,6.36614486228354e-06,0.0014336558229862,IRAK3, protein_coding
